ETossed,2saint,aklo,albert,amsa,android 0,aura,axe,ben,billybopeep,bobby big ballz,bones,captain smuckers,chem,colbol,dacky,drephen,eddy mexico,eggy,faceroll,far!,fatgoku,fiction,fizz,flash,free palestine,frenzy,gahtzu,ginger,hungrybox,ibdw,ice,jah ridin',jflex,jmook,juicebox,justus,kalamazhu,kalvar,khryke,kjh,kodorin,krudo,kürv,leffen,llod,logan,lucky,luigi ka-master,magi,mang0,medz,mekk,mew2king,michael,moky,morsecode762,mot$,n0ne/ bond / wizzyfan109,nicki,nofluxes,null,nut,palpa,panda,pappi,pipsqueak,plup,polish,professor pro,ringler,rishi,rocky,ryobeat,s2j,sdj,secrets,sfat,sfop,shroomed,skerzo,slowking,slug,smashdaddy,sock,sora/joshman,spark,swift,tai,theswooper,trif,wally,warmmer,wizzrobe,zain,zamu,zealot,zuppy,
2saint,N/A,0-1,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-2,0-0,0-0,0-1,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,
aklo,1-0,N/A,0-0,0-1,0-0,0-0,1-0,0-0,0-0,0-0,0-0,2-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,1-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,2-0,0-0,0-0,0-0,0-0,0-0,1-1,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,1-1,0-2,0-1,1-0,0-0,0-0,
albert,0-0,0-0,N/A,0-0,1-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,1-0,0-0,0-2,0-0,1-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-1,1-0,0-1,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,
amsa,0-0,1-0,0-0,N/A,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,1-0,0-0,1-0,0-0,1-1,0-1,0-0,0-0,0-0,1-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,2-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-1,0-1,0-0,0-0,0-0,
android 0,0-0,0-0,0-1,0-0,N/A,0-1,0-1,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,1-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-2,0-0,0-1,0-1,1-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,
aura,0-0,0-0,1-0,0-0,1-0,N/A,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,
axe,1-0,0-1,0-0,1-0,1-0,0-0,N/A,1-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,2-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-2,0-0,0-2,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,2-0,1-0,1-0,0-0,0-0,2-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,2-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-1,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-1,1-0,0-0,0-2,0-0,1-0,1-0,0-0,
ben,0-0,0-0,0-0,0-0,0-0,0-0,0-1,N/A,0-0,0-0,0-0,0-0,0-0,0-0,0-0,2-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-3,0-1,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-1,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,1-0,0-0,0-0,0-1,1-0,0-0,1-0,0-0,1-1,0-0,0-0,
billybopeep,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,N/A,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,
bobby big ballz,0-0,0-0,0-0,0-0,1-0,0-0,0-1,0-0,0-0,N/A,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-1,0-0,1-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-1,0-0,
bones,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,N/A,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,
captain smuckers,0-0,0-2,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,N/A,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,
chem,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,N/A,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,
colbol,1-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,N/A,0-0,1-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,1-0,0-0,0-0,0-0,0-1,0-1,0-0,0-0,0-0,
dacky,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,N/A,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,
drephen,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-2,0-0,0-0,0-0,0-0,0-0,0-1,0-0,N/A,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-2,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,1-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,4-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,2-0,0-0,0-1,0-0,0-0,0-0,0-1,0-0,0-0,
eddy mexico,0-0,0-0,0-1,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,N/A,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,
eggy,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-1,0-0,0-0,0-0,0-0,N/A,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,
faceroll,0-0,0-0,2-0,0-0,0-0,0-0,0-2,1-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,N/A,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,2-0,0-0,0-0,1-0,2-0,0-0,0-0,0-0,0-0,0-0,0-2,0-0,1-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-2,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-1,0-0,0-0,0-0,0-2,0-0,0-0,0-0,0-0,0-0,0-0,0-0,
far!,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,N/A,0-0,0-0,1-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,
fatgoku,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,N/A,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,
fiction,0-0,0-0,0-0,0-0,1-1,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-1,0-0,0-1,N/A,0-0,0-0,0-0,0-0,0-0,0-1,0-1,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,1-0,1-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,1-0,0-0,2-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,
fizz,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,N/A,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,
flash,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,N/A,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-2,0-0,0-0,0-0,0-0,
free palestine,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,N/A,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-1,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,1-2,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,
frenzy,0-0,0-0,0-1,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,N/A,0-0,0-0,0-0,0-0,1-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-2,0-0,0-0,3-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-1,0-0,0-0,0-0,0-0,
gahtzu,0-0,1-0,0-0,0-1,0-0,1-0,0-0,1-0,0-0,1-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,N/A,0-0,0-0,0-1,0-0,0-0,0-0,0-1,0-0,0-0,0-1,0-0,0-0,0-0,0-2,0-0,0-0,0-0,1-1,0-0,1-0,0-0,0-2,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-1,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-1,0-0,0-0,
ginger,0-0,0-1,0-0,0-0,0-0,0-0,2-0,3-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,1-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-1,0-0,0-0,0-0,N/A,0-2,1-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-2,0-0,0-0,0-0,0-0,0-0,0-0,0-0,2-1,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-1,3-1,0-0,0-0,0-0,1-0,0-0,0-0,1-0,0-0,0-1,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-3,0-1,0-0,1-0,0-0,
hungrybox,1-0,0-0,0-0,1-1,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,1-0,0-0,0-0,1-0,0-0,0-0,2-0,N/A,1-3,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,3-0,0-0,0-0,0-1,1-0,0-0,0-0,0-0,2-0,0-2,0-0,0-0,0-0,0-0,1-0,0-0,0-0,1-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-1,0-2,0-0,0-0,0-0,0-0,0-0,1-0,1-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,1-0,1-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,1-4,0-2,1-0,0-0,0-0,
ibdw,2-0,0-0,1-0,1-0,0-0,0-0,2-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-1,3-1,N/A,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,1-0,0-0,1-0,0-0,2-0,0-0,0-0,0-0,1-1,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,1-0,2-1,1-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,1-0,0-0,2-0,1-2,0-0,0-0,0-0,
ice,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-1,0-0,0-0,N/A,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-1,0-1,1-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,
