ETossed,23,big irf,abbearv,abbson,amsah,blackh4ze,bose,charlon,charon,marlo,daydee,dronin,fat tino,fout nl,frenzy,fuzzyness,gg,humpe,ice,isdsar,jah ridin',jamie,jeapie,jim morrison,king,kingu,kins0,laurster,leffen,levingy,liax,luan,mint,mahie,makenshi,malmortis,marah,max,mayhem092,meady,modestmajor,nicki,niklas2912,ninjagofan72,prins esse,noxxa,paju,parsec,pipsqueak,poilon,poppmaister6000,professor pro,r23,raiden,raoul,renzo,rikzz,savestate,schima,senx,setchi,sharp,shiftingshadows,skullbro,solobattle,steff$,timi,trif,velani,yogurt,Other losses

23,N/A,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,,

big irf,0-0,N/A,0-0,1-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,2-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,1-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,1-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,"Aiken,Moe,Squeachu,Eekim,3rd",

abbearv,0-0,0-0,N/A,0-0,0-0,2-0,0-0,3-0,0-0,0-0,0-0,0-0,0-0,0-0,1-1,0-0,0-0,0-0,0-1,0-0,0-1,0-0,0-0,0-0,1-0,1-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-2,0-0,0-0,0-0,0-1,0-0,1-1,0-0,0-0,1-0,0-0,1-0,0-1,0-0,0-0,0-2,0-0,0-0,0-0,1-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-2,0-2,0-0,0-0,0-0,0-0,0-0,0-0,"Smarted,kenshu,Madness",

abbson,0-0,0-1,0-0,N/A,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,"Tellman,ozjung",

amsah,0-0,0-0,0-0,0-0,N/A,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,,

blackh4ze,0-0,0-1,0-2,0-0,0-0,N/A,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-1,0-0,0-2,0-0,"ILikeTurtles,zck,NVZ,gongong,Toa,Squeachu,NVZ,FrankTheFisher",

bose,0-0,0-0,0-0,0-0,0-0,0-0,N/A,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,1-0,0-0,0-0,0-0,0-1,0-1,0-0,0-1,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,1-1,0-0,"Little Bear,MintGreen",

charlon,0-0,0-0,0-3,0-0,0-0,0-0,0-0,N/A,0-0,0-0,0-0,0-1,0-0,2-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-1,0-0,0-0,0-0,Madness,

charon,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,N/A,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-2,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,,

marlo,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,N/A,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,Calle W,

daydee,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,N/A,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,,

dronin,0-0,1-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,N/A,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,,

fat tino,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,N/A,1-0,0-1,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-2,1-0,0-0,0-1,0-0,1-0,0-0,0-0,0-0,0-0,0-0,1-2,1-0,1-0,1-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,1-0,0-0,1-0,0-0,0-0,0-0,1-0,0-1,0-0,0-0,Okameed,

fout nl,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-2,0-0,0-0,0-0,0-0,0-1,N/A,0-2,0-0,0-0,0-2,0-2,0-0,0-0,0-0,0-0,0-0,0-1,0-1,0-1,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-2,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-1,0-1,0-0,1-0,1-0,0-1,2-0,0-0,0-0,0-0,0-0,0-0,2-1,0-0,0-0,0-0,0-0,0-0,0-0,10QuidShoes,

frenzy,0-0,0-0,1-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,2-0,N/A,2-0,0-0,1-0,5-1,1-0,1-1,1-0,0-0,0-0,1-0,1-0,2-2,1-0,0-3,2-0,2-0,0-0,3-0,3-0,1-0,0-0,0-0,2-0,0-0,4-3,0-0,0-1,0-0,0-0,2-0,0-0,0-0,0-0,2-3,0-0,1-0,6-3,1-0,0-0,3-1,0-0,3-0,0-0,0-0,0-0,1-0,1-1,0-0,3-0,2-1,0-0,1-0,2-7,3-0,0-0,,

fuzzyness,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-2,N/A,1-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-1,0-0,1-0,0-1,1-0,0-0,0-0,0-0,0-2,0-0,0-0,0-0,0-1,0-0,1-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,1-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,1-0,0-0,Pi,

gg,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,N/A,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-1,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,1-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,"Squeachu,Silas,Madness,Little Bear",

humpe,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,2-0,0-1,0-0,0-0,N/A,0-0,0-0,0-0,1-0,1-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-2,0-0,1-0,0-0,1-1,0-0,0-0,0-0,0-0,0-0,0-0,2-1,1-0,0-1,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-1,0-0,0-0,1-0,0-1,0-1,0-0,Jayson,

ice,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,2-0,1-5,0-0,0-0,0-0,N/A,0-0,0-0,1-0,0-0,0-0,0-0,0-0,2-0,0-0,0-1,0-0,0-0,0-0,0-1,1-0,0-0,0-0,0-0,0-0,0-0,2-0,0-0,2-0,0-0,1-0,1-0,0-0,0-0,0-0,2-2,0-0,0-0,2-2,0-0,0-0,3-0,0-0,1-0,0-0,0-0,0-0,0-0,2-0,1-0,4-0,0-1,1-0,0-0,0-3,1-0,0-0,,

isdsar,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,N/A,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,,

jah ridin',0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-1,1-0,0-0,0-0,0-0,0-0,N/A,0-0,0-0,1-0,1-0,0-0,1-3,0-0,0-3,2-1,0-0,0-0,1-1,1-0,1-0,0-0,0-0,2-0,1-0,1-0,0-0,0-1,0-0,0-0,0-0,1-0,0-0,0-0,1-1,0-0,0-0,0-3,0-0,0-0,1-0,0-0,1-0,0-0,1-0,0-0,0-0,1-0,0-0,2-0,0-2,0-0,2-0,0-2,1-0,1-0,,

jamie,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,1-0,0-1,0-1,0-0,0-0,N/A,0-0,0-0,0-0,0-0,0-1,1-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-1,0-1,0-1,0-0,1-0,1-0,0-0,0-1,0-0,0-2,0-2,0-0,0-0,0-1,0-1,0-0,"Verdant,Rev,NVZ,Roryx,King Funk,Little Bear,Pi,Vivi",

jeapie,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,N/A,0-0,0-0,0-0,0-1,1-0,0-0,0-0,1-0,0-0,0-0,0-1,0-0,0-0,0-0,0-1,0-1,1-0,0-0,0-0,1-0,0-0,0-0,1-0,0-0,0-0,0-0,1-0,0-0,0-2,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,1-0,0-1,0-0,0-0,0-1,0-0,0-0,Flexqz,

jim morrison,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,N/A,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,1-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-1,0-1,0-0,0-0,"Mezzy,RestlessWhale,Happymealz",

king,0-0,0-2,0-1,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,1-0,0-1,0-0,0-0,0-1,0-0,0-0,0-1,0-0,0-0,1-0,N/A,0-0,0-1,0-0,0-0,0-1,1-0,0-0,0-2,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,1-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-2,0-0,1-1,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-1,"yung Ullrich,nebbii,Tinker,MadeInShineA,hot atze sommer,yung Ullrich,Raisem",

kingu,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,N/A,0-0,0-0,0-0,0-2,1-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,2-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-1,0-0,1-0,0-0,0-0,0-0,0-0,0-3,0-0,0-0,0-1,0-0,0-0,0-0,"Kidder,Veldor,Zepple",

kins0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,2-0,1-0,2-2,0-0,0-0,0-0,0-2,0-0,3-1,1-0,1-0,0-0,1-0,0-0,N/A,0-1,0-3,1-0,2-0,1-0,1-0,1-0,0-0,0-0,0-0,3-0,0-0,3-0,0-0,1-3,0-0,0-0,0-0,1-0,0-0,1-0,1-4,2-0,0-0,1-2,0-0,0-0,0-0,0-0,2-1,0-0,2-0,0-0,0-0,0-0,0-0,1-0,0-1,0-0,0-0,0-3,0-0,0-0,,

laurster,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-1,0-1,0-0,0-1,0-0,0-0,0-0,0-0,0-1,0-1,0-0,0-0,0-0,1-0,N/A,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-1,1-0,0-0,0-2,0-0,0-0,1-0,0-1,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-1,0-1,0-0,0-0,0-0,0-0,1-1,0-1,0-0,0-0,0-0,0-0,1-0,0-0,"Calle W,Matt Smith,NVZ,Gr4pe,Spino,Ludderix",

leffen,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,3-0,1-0,0-0,0-0,1-0,0-0,3-0,0-0,0-0,0-0,0-0,0-0,3-0,0-0,N/A,0-0,0-0,0-0,1-0,1-0,1-0,0-0,0-0,1-0,0-0,1-0,0-0,3-0,0-0,1-0,0-0,0-0,0-0,0-0,2-2,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,5-0,0-0,0-0,,

levingy,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-2,1-0,0-0,0-0,0-0,0-0,1-2,1-0,0-0,0-0,1-0,2-0,0-1,0-0,0-0,N/A,1-0,0-0,1-1,2-0,0-1,0-0,0-0,0-0,1-0,2-0,0-0,0-2,0-0,1-0,0-1,2-0,1-0,1-0,0-0,0-0,0-0,0-2,0-0,1-0,0-0,0-0,0-3,0-0,0-0,0-0,0-0,2-1,1-0,0-1,1-1,0-0,0-1,1-1,0-0,0-0,,

liax,0-0,0-0,0-1,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-2,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-1,0-1,0-2,0-0,0-0,0-1,N/A,0-0,0-0,0-0,0-0,0-0,0-0,0-1,1-0,0-1,0-0,0-0,0-1,0-0,0-2,0-1,0-0,0-1,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,1-0,0-0,0-0,0-0,1-0,0-0,0-0,1-0,"Madness,NVZ,Raptori,RedBlaze,Paytay",

luan,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-1,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,N/A,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,,

mint,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-3,1-0,0-0,0-0,1-0,0-0,1-1,0-0,0-0,0-0,2-0,0-0,0-1,0-0,0-1,1-1,0-0,0-0,N/A,2-1,0-1,0-0,0-0,2-0,1-0,0-0,0-0,1-1,2-0,0-0,1-0,0-0,0-0,1-0,3-0,0-0,0-0,0-1,0-0,0-0,1-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,1-1,0-0,0-1,0-2,0-0,0-0,Gabe,

mahie,0-0,0-0,2-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-3,0-1,0-0,2-0,0-1,0-0,0-1,0-0,1-0,0-0,0-0,0-0,0-1,0-0,0-1,0-2,0-0,0-0,1-2,N/A,0-1,0-0,0-0,1-0,1-0,1-2,0-0,1-3,1-0,0-0,0-0,1-1,1-0,2-0,1-1,0-0,0-0,0-1,2-0,0-1,0-1,0-0,2-1,0-0,0-1,1-0,0-0,1-1,0-0,2-1,0-1,0-0,0-0,1-1,0-0,0-0,"Smarted,Moe,Sverre",

