ETossed,Hungrybox,Leffen,Mang0,Axe,Wizzrobe,Zain,aMSa,Plup,iBDW,Mew2King,S2J,Fiction,SFAT,moky,n0ne/ Bond / wizzyfan109,Trif,Faceroll,Lucky,Ginger,Spark,lloD,KJH,Shroomed,Medz,Professor Pro,2saint,Gahtzu,Albert,Rishi,Magi,Morsecode762,Zamu,Drephen,Michael,Ice,billybopeep,Colbol,Kalamazhu,Aura,nut,Kalvar,Polish,Tai,KoDoRiN,Free Palestine,Ryobeat,Luigi Ka-Master,Kurv,Frenzy,bobby big ballz,Nicki,Rocky,Panda,TheSWOOPER,Fizz,Krudo,Sora/Joshman,Aklo,Android 0,Ben,Bones,Captain Smuckers,Chape,Chem,Dacky,Eggy,Far!,Flash,Jah Ridin',Jflex,Jmook,Juicebox,Justus,Khryke,Logan,Mekk,Mot$,NoFluxes,null,Palpa,Pappi,Pipsqueak,Ringler,SDJ,Secrets,SFOP,Skerzo,Slowking,SluG,Sock,Swift,Wally,Warmmer,Zealot,Zuppy,Other losses
Hungrybox,N/A,0-1,1-2,0-0,1-5,0-3,1-1,0-1,1-3,0-0,2-4,1-0,3-0,2-0,5-2,0-0,0-0,0-1,10-6,0-0,1-0,0-0,0-0,1-0,0-0,1-1,1-1,1-1,1-0,3-0,0-0,2-0,0-0,0-0,0-0,0-0,2-0,1-0,0-0,0-0,0-0,0-2,0-0,4-1,1-0,0-0,1-0,0-0,0-0,8-0,1-0,1-0,3-0,0-0,0-0,0-0,0-0,9-2,0-0,6-9,1-1,0-0,0-0,1-0,0-0,1-0,0-0,0-0,0-0,6-0,0-0,0-0,1-0,1-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,1-0,1-0,0-0,1-0,0-0,3-0,1-0,3-1,0-0,0-0,0-0,1-0,"Balloon Day, Blues Clues, Elliot, Kuyashi, Hax$, BZimm, Hax$",
Leffen,1-0,N/A,0-1,0-0,0-1,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,5-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,4-1,0-0,4-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,3-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,3-3,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,,
Mang0,2-1,1-0,N/A,0-0,2-0,3-1,0-2,1-1,1-1,0-0,0-0,0-0,0-1,2-0,1-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,2-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,,
Axe,0-0,0-0,0-0,N/A,0-2,0-1,1-0,0-1,0-2,0-0,0-2,0-0,0-3,0-1,0-0,0-1,2-0,0-0,1-4,0-0,0-0,0-0,0-0,0-2,0-0,1-1,0-1,0-1,1-0,0-0,0-0,1-0,0-0,0-0,0-0,0-1,0-0,0-0,0-1,0-0,0-0,0-1,0-0,3-0,0-0,0-0,0-0,0-0,0-0,2-2,0-0,0-0,0-0,0-0,0-0,1-0,0-1,1-3,1-0,3-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,1-0,0-0,2-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,1-0,0-1,2-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,1-0,0-0,DankBot,
Wizzrobe,5-1,1-0,0-2,2-0,N/A,0-1,1-0,0-3,0-2,1-0,0-0,0-0,2-0,0-1,0-1,1-0,0-0,1-0,3-0,0-0,2-0,0-0,0-0,0-0,0-0,2-0,0-0,0-0,0-0,1-1,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,1-0,0-0,0-0,1-0,0-0,2-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,1-0,0-0,1-0,0-0,0-0,0-0,3-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,3-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,,
Zain,3-0,0-0,1-3,1-0,1-0,N/A,1-0,1-0,2-1,0-0,2-1,0-0,1-0,1-0,1-0,0-0,0-0,0-0,1-0,0-0,1-1,0-0,0-0,0-0,0-0,1-0,1-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,1-0,1-0,0-0,0-0,0-0,1-0,0-0,2-0,0-0,1-0,0-0,0-0,0-0,1-1,0-0,0-0,0-0,0-0,0-0,0-0,1-0,1-1,0-0,0-1,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,"JOJI, Siddward, Kadence, Anwarrior, ORLY, flatline, Kaiser, Tyroy",
aMSa,1-1,0-0,2-0,0-1,0-1,0-1,N/A,0-1,0-1,0-0,0-0,0-0,1-0,0-0,1-0,0-1,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,,
Plup,1-0,0-0,1-1,1-0,3-0,0-1,1-0,N/A,1-2,0-0,0-0,1-0,3-1,0-0,2-0,0-0,2-0,1-0,1-0,0-0,0-0,0-0,0-0,1-0,0-0,1-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,2-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,1-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,,
iBDW,3-1,1-0,1-1,2-0,2-0,1-2,1-0,2-1,N/A,0-0,2-3,0-0,3-0,1-0,0-0,0-0,0-0,0-0,1-1,0-0,1-0,0-0,0-0,1-0,0-0,2-0,1-0,2-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,1-0,0-0,0-0,0-0,1-0,2-1,0-0,2-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-1,0-0,1-0,0-0,0-1,0-0,1-0,0-0,0-0,0-0,2-1,2-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,2-0,0-0,1-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,1-0,1-0,1-0,1-0,1-0,"Ben Snape, Joe(y) Bats, Lotfy, Just Jason",
Mew2King,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,N/A,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,Epic Murloc,
S2J,4-2,0-0,0-0,2-0,0-0,1-2,0-0,0-0,3-2,0-0,N/A,2-4,5-5,1-0,1-1,0-0,0-0,4-4,2-0,0-0,0-0,0-0,2-0,4-0,0-0,0-4,1-1,1-1,0-0,2-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,2-0,2-0,1-0,0-0,0-0,0-0,7-4,0-0,1-0,0-0,0-0,0-0,18-2,0-0,5-3,1-0,1-0,0-0,0-0,0-0,0-0,3-0,3-0,0-0,0-0,0-0,0-0,3-0,0-0,0-0,0-0,0-0,2-0,1-0,0-0,0-0,1-0,2-0,0-0,0-0,1-0,3-0,2-0,4-1,0-0,1-0,6-0,0-0,0-1,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,"OkayP., FatGoku, FatGoku",
Fiction,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,4-2,N/A,0-1,0-0,1-0,0-0,0-1,4-1,0-2,1-2,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,5-1,0-0,0-0,1-0,2-5,0-0,0-0,1-0,0-0,0-0,1-0,0-1,1-0,1-0,0-0,0-0,0-0,2-0,0-0,6-2,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,11-2,0-0,0-0,0-0,2-0,0-0,0-0,1-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,"FatGoku, ManRay, FatGoku, Franz, Franz, Westballz, Westballz, ARMY, Westballz, Casper, Asashi",
SFAT,0-3,0-0,1-0,3-0,0-2,0-1,0-1,1-3,0-3,0-0,5-5,1-0,N/A,0-0,2-0,0-0,1-0,2-0,1-2,0-0,1-0,0-0,0-0,3-0,1-0,2-0,2-1,3-0,0-0,0-3,0-0,2-1,0-0,0-0,0-0,0-0,0-0,0-0,2-0,0-0,0-0,0-0,1-0,6-6,3-0,0-0,0-0,0-0,0-0,7-5,0-0,5-1,0-0,0-0,0-0,0-0,1-0,4-1,0-0,1-0,1-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,2-0,0-0,1-0,0-0,0-0,0-0,5-0,0-0,0-0,0-0,0-0,2-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,"Epic Murloc, Trail, Soonsay, Smashdaddy",
moky,0-2,0-0,0-2,1-0,1-0,0-1,0-0,0-0,0-1,0-0,0-1,0-0,0-0,N/A,2-2,0-0,0-0,0-0,5-1,0-0,0-0,0-0,0-0,0-0,0-0,2-0,1-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,1-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,2-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,1-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,2-0,1-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,"DontTestMe, totally butts, Suezo, Syrox, Syrox, JHTL, Siddward, Aero, Joey Donuts, DontTestMe, Swami",
n0ne/ Bond / wizzyfan109,2-5,0-0,0-1,0-0,1-0,0-1,0-1,0-2,0-0,0-0,1-1,0-1,0-2,2-2,N/A,0-0,0-0,3-3,8-1,0-0,0-1,0-0,0-0,0-0,0-0,1-2,0-3,1-0,0-0,3-0,0-0,2-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,1-0,0-0,1-1,0-0,4-3,0-0,0-0,0-0,0-0,0-0,6-0,0-0,0-0,1-1,1-0,1-0,0-0,0-0,3-2,0-0,7-1,0-0,0-0,0-0,0-0,1-0,0-0,1-0,0-0,0-0,3-0,0-1,1-0,0-0,0-0,1-0,0-0,1-1,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,1-0,0-1,0-0,1-0,0-0,0-0,0-0,3-0,"OkayP., OkayP.",
Trif,0-0,0-5,0-0,1-0,0-1,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,N/A,2-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-3,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,3-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,8-2,0-0,3-0,0-0,0-0,0-0,0-0,0-0,1-0,1-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,2-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,3-2,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,"max, skullbro, Levingy, Mahie",
Faceroll,0-0,0-0,0-0,0-2,0-0,0-0,0-0,0-2,0-0,0-0,0-0,1-0,0-1,0-0,0-0,0-2,N/A,0-3,0-0,0-1,0-0,1-0,0-0,1-0,0-0,0-0,0-1,2-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,2-0,0-0,0-0,0-0,0-0,0-0,4-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-1,1-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-1,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,,
Lucky,1-0,0-0,0-1,0-0,0-1,0-0,0-0,0-1,0-0,0-0,4-4,1-4,0-2,0-0,3-3,0-0,3-0,N/A,0-2,1-2,0-0,0-0,1-0,3-1,0-0,0-0,1-2,1-0,0-1,0-1,0-0,1-0,1-0,1-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,1-1,0-0,5-10,0-0,0-0,0-0,0-0,0-0,10-8,0-0,2-2,0-0,1-0,0-0,0-0,0-0,0-1,3-1,2-1,0-0,0-0,0-0,0-0,2-1,0-0,0-0,0-0,0-0,5-0,0-0,0-0,2-0,0-0,0-0,0-0,1-0,0-0,5-1,0-1,3-1,0-0,0-0,0-0,0-0,2-1,1-0,2-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,"Azel, TheRealThing, mvlvchi, Asashi, Westballz, Westballz, Soonsay, Eddy Mexico, Westballz, Blues Clues, Logos, RedX, yingling, Kürv, Casper, Smashdaddy, aCID, Wassabi, Steech, MrG, Goosekhan",
Ginger,6-10,0-0,0-0,4-1,0-3,0-1,0-0,0-1,1-1,0-0,0-2,2-0,2-1,1-5,1-8,0-0,0-0,2-0,N/A,0-0,0-1,1-6,0-0,1-0,0-0,2-0,3-4,0-0,0-0,3-1,3-0,2-0,14-3,0-0,1-0,0-0,1-0,0-0,0-0,0-0,0-0,3-1,0-0,3-7,0-0,3-0,0-0,0-0,0-0,14-5,0-0,1-0,2-0,2-0,0-0,2-0,0-1,5-3,0-0,8-3,2-0,0-0,0-0,2-0,1-0,0-0,0-0,0-1,0-0,7-0,1-2,1-0,0-0,2-0,2-2,0-0,3-0,2-1,1-0,0-0,3-1,0-0,0-0,1-0,0-0,1-2,4-1,1-0,2-1,0-0,1-1,0-0,2-0,1-0,3-0,"ARMY, Bbatts, MOF, Kuyashi, Kuyashi, C-bass, Den, DontRestMe",
Spark,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,2-1,0-0,0-0,0-0,0-0,1-0,2-1,0-0,N/A,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,,
lloD,0-1,0-0,0-0,0-0,0-2,1-1,0-1,0-0,0-1,0-0,0-0,0-0,0-1,0-0,1-0,0-0,0-0,0-0,1-0,0-0,N/A,0-0,0-0,0-0,0-0,0-1,1-1,0-0,1-0,0-0,0-0,1-0,1-1,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,1-7,0-0,1-0,0-0,0-0,0-0,0-0,0-0,1-1,0-0,0-0,1-0,0-0,0-0,0-0,0-0,1-3,0-0,1-1,1-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,2-0,1-0,0-1,1-0,1-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,1-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,"Hax$, DrLobster, Neologism, Balloon Day",
KJH,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,6-1,0-0,0-0,N/A,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,2-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,FatGoku,
Shroomed,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-2,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,N/A,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-1,0-0,0-1,0-1,0-1,0-0,0-0,0-0,0-1,0-1,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,1-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,"Vavez, TheRealThing, ALP",
Medz,0-1,0-0,0-0,2-0,0-0,0-0,0-0,0-1,0-1,0-0,0-4,0-1,0-3,0-0,0-0,0-0,0-1,1-3,0-1,0-0,0-0,0-0,0-0,N/A,0-0,0-0,0-1,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-2,0-0,0-0,0-0,0-0,0-0,6-6,0-0,0-1,0-1,0-0,0-0,0-0,0-0,0-0,0-0,1-2,0-0,0-0,0-0,0-0,2-1,0-0,10-2,0-0,0-0,1-0,0-0,0-0,1-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,2-1,0-0,0-0,1-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,"Westballz, FatGoku, Soonsay, Soonsay, Connor, ARMY, Smashdaddy, blargh257, Steech, Salt, Kürv, PanterA, Smashdaddy, Smashdaddy, Smashdaddy, Salt, Zamorita, Zamorita, SuperCuak, Kürv, Blues Clues, ycz6, Quaff, Kürv, Kürv, Kürv",
Professor Pro,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,3-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,N/A,0-0,0-0,0-0,0-0,0-1,0-0,1-0,0-0,0-0,3-3,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,6-9,0-0,2-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,3-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-6,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,"Solobattle, Renzo, Kingu, Kins0, max, R23",
2saint,1-1,0-0,0-0,1-1,0-2,0-1,0-0,0-1,0-2,0-0,4-0,0-0,0-2,0-2,2-1,0-0,0-0,0-0,0-2,0-0,1-0,0-0,0-0,0-0,0-0,N/A,1-0,2-1,0-0,0-0,0-0,0-0,0-0,1-0,0-0,2-0,1-1,1-0,1-0,0-0,0-0,0-0,0-0,2-1,0-0,1-0,0-0,0-0,0-0,2-1,0-0,0-1,0-0,1-0,0-0,0-0,0-0,1-4,0-0,0-1,3-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-2,1-0,1-0,0-1,0-0,2-2,0-0,2-0,0-0,0-0,0-0,1-0,0-0,0-0,1-0,0-0,2-0,0-0,0-0,0-2,0-0,0-0,1-0,0-0,1-0,1-1,"Hax$, Eddy Mexico, TheRealThing, TheRealThing, Lotfy, Just Jason, FatGoku, Bbatts",
Gahtzu,1-1,0-0,0-0,1-0,0-0,0-1,0-1,0-1,0-1,0-0,1-1,0-0,1-2,0-1,3-0,0-0,1-0,2-1,4-3,0-0,1-1,0-0,0-0,1-0,0-0,0-1,N/A,1-0,0-0,0-2,0-0,1-1,4-1,0-1,0-0,0-0,5-14,1-2,1-0,1-0,0-0,1-1,0-0,2-5,0-0,1-0,0-0,0-0,0-0,12-4,0-0,0-1,2-1,1-0,0-0,1-0,0-0,2-3,0-0,10-2,1-0,0-0,0-0,3-0,1-0,0-1,1-0,0-0,0-0,5-2,0-1,3-0,0-0,0-0,2-1,2-0,1-0,4-0,0-0,0-0,5-0,0-0,0-0,1-1,0-0,0-0,0-0,0-3,2-1,0-0,0-0,0-0,0-0,4-0,3-0,"Hax$, Hax$, mvlvchi, Azel, Joyboy, Wicked_, Soonsay, CPU0, Nanami (aka PurpleZ), Unsure, Jank, Kata, Grab",
Albert,1-1,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-2,0-0,1-1,1-0,0-3,0-0,0-1,0-0,0-2,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-2,0-1,N/A,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,1-0,0-0,1-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,2-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,1-0,1-2,0-0,0-0,0-0,0-1,1-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,1-0,0-0,0-1,0-0,0-0,0-0,0-0,0-1,1-0,0-0,0-0,0-1,1-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,,
Rishi,0-1,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,N/A,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-1,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,1-0,0-0,0-0,0-0,0-3,0-0,0-0,2-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,"Hax$, WillieSchmillieBoyMan, Younger, TPN",
Magi,0-3,0-1,0-0,0-0,1-1,0-0,0-0,0-0,0-0,0-0,0-2,0-0,3-0,0-0,0-3,0-0,0-1,1-0,1-3,0-0,0-0,0-0,0-0,0-1,1-0,0-0,2-0,0-0,0-0,N/A,0-0,1-2,0-0,0-0,0-0,0-0,0-0,0-1,1-0,0-0,0-0,0-3,0-0,0-3,0-0,0-0,0-0,0-0,0-0,1-0,0-0,1-0,0-0,0-1,0-0,1-0,0-0,1-0,0-0,2-1,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,1-0,0-1,0-0,1-0,0-0,2-1,0-0,2-0,1-0,0-0,0-0,0-0,1-0,1-0,1-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,"Faust, Kuyashi",
Morsecode762,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-3,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,N/A,1-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,2-1,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,1-0,0-0,0-0,0-0,1-1,0-0,0-0,0-0,"Bbatts, Kuyashi, Kuyashi, Suezo, Zion, Zion, Excel Zero, Travioli",
