ETossed,Hungrybox,Leffen,Mang0,Axe,Wizzrobe,Zain,aMSa,Plup,iBDW,Mew2King,S2J,Fiction,SFAT,moky,n0ne/ Bond / wizzyfan109,Trif,Faceroll,Lucky,Ginger,Spark,lloD,KJH,Shroomed,Medz,Professor Pro,2saint,Gahtzu,Albert,Rishi,Magi,Morsecode762,Zamu,Drephen,Michael,Ice,billybopeep,Colbol,Kalamazhu,Aura,nut,Kalvar,Polish,Tai,KoDoRiN,Free Palestine,Ryobeat,Luigi Ka-Master,Kurv,Frenzy,bobby big ballz,Nicki,Rocky,Panda,TheSWOOPER,Fizz,Krudo,Sora/Joshman,Aklo,Android 0,Ben,Bones,Captain Smuckers,Chape,Chem,Dacky,Eggy,Far!,Flash,Jah Ridin',Jflex,Jmook,Juicebox,Justus,Khryke,Logan,Mekk,Mot$,NoFluxes,null,Palpa,Pappi,Pipsqueak,Ringler,SDJ,Secrets,SFOP,Skerzo,Slowking,SluG,Sock,Swift,Wally,Warmmer,Zealot,Zuppy,Other losses
Mekk,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-1,0-0,0-0,0-0,0-2,0-0,0-0,0-0,0-0,1-2,0-0,0-5,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,4-1,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,N/A,0-0,2-0,0-0,2-6,0-5,0-0,0-0,0-2,0-0,0-0,5-1,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-1,"Vish, Reeve, Hax$, Forrest, Forrest, Ford$, Swedish Delight, Smashdaddy, DD, Brand0, Lotfy, Ober, Hyunnies, Bab Activated, SuperCuak, Akir, Dao, Umarth, Morrito, Suezo, Koobie, Koobie, Unsure, Koobie, Joey Donuts, htwa, Whiskers, maxi, Steech, grownworkingman, The Leaf, The Leaf, The Leaf, Nanami (aka PurpleZ), The Leaf, Tanooki, Westballz, Westballz, JCAM, Komodo, cadenville, Amrak, Zamorita, Salt, Smashdaddy, Fank, Pleeba, Pleeba, Pleasantries, ChuDat, DD",
Mot$,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-1,0-1,0-0,1-1,0-0,0-1,0-1,0-3,0-0,0-1,0-0,0-0,0-0,0-0,0-2,0-1,0-0,0-0,0-1,0-1,0-3,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,1-2,0-0,0-0,0-1,0-1,1-0,0-0,0-0,0-0,0-3,0-0,0-0,1-2,8-2,1-0,0-0,0-0,0-3,0-0,1-4,1-0,0-0,0-0,0-0,0-2,1-0,0-0,0-0,0-0,6-9,0-1,0-1,0-0,2-0,0-1,0-0,N/A,0-0,0-0,0-0,2-0,0-0,0-0,0-0,0-0,0-1,1-2,1-0,0-3,0-0,0-1,12-10,1-3,0-0,2-2,"Jamrun, Reeve, Hax$, futtbucker, Muscoman, KoopaTroopa895, Dawson, Error, FendrickLamar, Erik, Erik, LuigigoShard, Bank, iLL BiLL, prof, Younger, Ghost Rider, Dimension, Panos, Whiskers, JoJo, 404Cray, SloX, JoJo, Swedish Delight, Swedish Delight, The Leaf, lozplyr89, Bigbuffalo, Forrest, Leighton, Just Jason, Just Jason, SloX, SloX, JoJo, K8A, Fable, Majersk, Just Jason, Bbatts, Trail, Panos, YokaiNels, 404Cray, HOBORG, HOBORG, Error, Error, Error",
NoFluxes,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-1,0-0,0-0,0-0,1-2,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-4,0-0,0-0,0-0,1-0,0-1,0-2,0-8,0-0,0-0,0-0,0-0,4-0,0-0,2-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,5-3,0-0,0-0,1-3,1-0,1-0,0-0,0-0,0-3,0-0,0-4,0-2,0-0,0-0,0-0,0-0,6-8,0-0,0-0,0-0,0-6,0-0,0-2,0-0,2-2,0-1,0-2,0-0,N/A,0-0,0-1,5-2,0-0,0-0,1-1,1-0,0-0,2-5,0-4,2-0,0-0,0-0,1-0,1-2,0-1,0-1,"Lotfy, mgmg, Bbatts, Balloon Day, Casper, Younger, Nanami (aka PurpleZ), Pi#374, ALP, OkayP., Jamrun, Equilateral, Stiffff, K8A, Faust, Chopsteezy, Russell, Fank, aCID, Swedish Delight, Trail, Busy Boi, Lotfy, Lotfy, EduPorp, JSalt, Epoodle, DannyPhantom, EduPorp, Erik, JSalt, Husband, Husband, Mad Tyro, Mad Tyro, MessiSTL, Zeeker, JSalt, Salt, Salt, JSalt, FMB5k, Equal, Neologism, Paladin, Koobie, Dawson, Leof, Bbatts, Koobie, Krispy, Bbatts, Bbatts, mgmg, Koobie, Koobie, Abe, Bbatts, Bbatts, JSalt, JSalt, Zeeker, Pi#374, TPN, rabit!, Freezus, Bbatts, Koobie, Freezus, Bbatts, Bbatts, Bbatts, Blue, DannyPhantom, Alextrer, Panko, JustJoe, JustJoe, Sneakywill, Dawson, 119Mista, coffee, Ober, Goonus, The Leaf, Freezus, Komodo, Seven, .Dempt, TPN, Crow, Jimmy Jockstrap, Akir, Badmouth, Leof, Ober, JSalt, William, Sirmeris, Sirmeris, Gl!tch, Crow, tiebex, Koobie, Koobie, Kata, DontTestMe, JSalt, Komodo, Neologism, prof, Sneakywill, Zeeker, Dirt, E-tie, PRIN$E, Koobie, Lotfy, mgmg, Fank, .Dempt, William, Toast, mgmg, Scal, Drio, Lotfy, Koobie, shamr0ck, Freezus, JSalt, Ober, Ober, Ober, Unsure, Koobie, William, Paladin, Bbatts, Cast, Pi#374, Panko, htwa, Lotfy, Bobby Frizz, Seven, Suezo, Jimmy Jockstrap, tiebex, Bbatts, Bbatts, Prometheus, Prometheus, SpiritxReaper, SpiritxReaper, Drio, Drio, Jimmy Jockstrap, Churze, JSalt, JSalt, Crow, Crow, Weeg, DD, Reesch, Koobie, JSalt, JSalt, JSalt, JSalt, JSalt, JSalt, Koobie, Koobie, The Leaf, Suezo, Esquire, Joey Donuts, Akir, Joey Donuts, Rasen, Travioli, KeyboardMarth",
null,0-0,0-1,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-3,2-11,0-0,0-0,0-0,0-0,1-0,1-5,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-2,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,3-2,0-0,0-0,1-0,1-6,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-2,0-0,5-6,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,N/A,0-0,0-0,0-0,2-1,0-0,0-0,0-1,0-1,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,"blargh257, Casper, Asashi, Franz, Westballz, MegaXmas, Westballz, MegaXmas, Asashi, Westballz, huh, Hobbes, Casper, Jace, Smashdaddy, Franz, Franz",
Palpa,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-2,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,1-2,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-1,0-0,0-0,6-2,0-0,1-0,0-0,N/A,5-8,0-0,0-0,1-1,0-0,0-4,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,"FatGoku, FatGoku, Smashdaddy, KoopaTroopa895, Salt, bobbybigballz, The Leaf, The Leaf, The Leaf, The Leaf, The Leaf, The Leaf, tatuwah, The Leaf, Air, AlyJ",
Pappi,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-4,0-0,0-5,0-0,0-0,0-0,0-1,1-3,1-3,0-0,1-0,0-0,0-1,1-2,0-0,0-1,0-5,0-1,0-0,0-2,0-0,1-0,0-4,0-0,0-0,0-0,0-1,0-0,7-1,0-0,0-0,0-0,0-0,2-4,0-0,0-0,0-0,0-0,0-0,17-11,0-0,0-5,2-0,1-1,0-0,0-0,0-0,0-1,1-0,3-10,2-2,0-0,0-0,3-0,0-1,0-2,0-0,0-0,0-0,9-3,0-0,3-0,0-1,2-0,0-0,5-0,0-2,2-5,0-0,8-5,N/A,0-0,0-0,9-10,1-1,0-4,1-0,1-1,0-1,0-0,0-0,0-0,2-2,3-5,1-3,"Salt, Salt, Yamasaki, Westballz, Iifter, Azel, ALP, Koobie, Eddy Mexico, NOOT, Typhoon, KoopaTroopa895, Eddy Mexico, NOOT, Axon, Firebolt, mvlvchi, Zhyrri, Wassabi, htwa, KoopaTroopa895, Blues Clues, Spoodily, Eddy Mexico, Quaff, Arcadia, imoutoslayer, Typhoon, Quaff, FatGoku, FatGoku, Eddy Mexico, soccermom69, FatGoku, Smashdaddy, FatGoku, NOOT, TreyTheTrashman, Elliot, NOOT, SuperCuak, ALP, Connor, Iron, Typhoon, DD, Typhoon, Midnight Blue, TPN, Soonsay, Smashdaddy, Blues Clues, 404Cray, Eddy Mexico, PanterA, PanterA, Buckets, Typhoon, Salt, Goosekhan, LuigigoShard, Pi#374, CmG, Salt, Hulka, Grab, Eddy Mexico, Rei, Unsure, FatGoku, Komodo, Travioli, Hax$, Salt, Anjo, PanterA, PanterA, Kürv, Nathan, Iifter, Iifter, mintea, The Leaf, Nathan, Freezus, Lotfy, K8A, LuigigoShard, Koobie, Mud, Komodo, FatGoku, Rei, Komodo, htwa, Smashdaddy, John Wick, DD, Smashdaddy, Kimchi, Kimchi, Dimension, Zion, Trail, Freezus, Trail, Rasen, Midnight Blue, El Link, John Wick, Cat Named Virtue, Goosekhan, Steech, Dawson, Rei, DD, blargh257, blargh257, Salt, haunter, Weeg, JSalt, Sker, Case, Eddy Mexico, aCID, LAG, Dova, haunter, New Guy, ALP, ALP, BIG PIKA, Dizzy, Harout, Paladin, Akir, SnooSnoo, JSalt, JSalt, JSalt, Darrell, HaxMoneyHulkHogan, Midnight Blue, OkayP., Salt, Darrell, JSalt, JSalt, JSalt, Justin Joe, John Llawless, JSalt, MT, Blues Clues, Blues Clues, rom, NOOT, NOOT, 901|Austin, John Llawless, Akir, Sodabro",
Pipsqueak,0-1,3-3,0-0,0-0,0-0,0-0,0-0,0-1,0-1,0-0,0-0,0-0,0-0,0-0,0-0,2-3,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,6-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,6-2,0-0,1-0,0-0,0-0,0-0,0-0,1-1,0-0,0-0,1-0,0-0,0-0,0-0,7-3,0-0,4-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,2-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,N/A,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,"MINT, Mahie, MINT, Solobattle, Kins0, MINT",
Ringler,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-2,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-1,0-0,0-0,0-0,0-0,0-0,0-1,0-1,0-0,0-0,2-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-1,0-0,0-0,0-0,0-0,0-0,1-2,0-0,0-0,0-0,N/A,0-2,0-0,0-0,0-0,0-2,0-0,0-0,0-0,0-0,1-0,0-0,0-0,"Azel, Smashdaddy, Sirmeris, Fury, Third Strongest, Chango, Rei, Rei, Golden, Ghost Rider, Franz, Smashdaddy, Gooms, L  d00pee, ARMY, Asashi, Sp1nda, Bbatts, Junk, eve, lucky_dude_1, MegaXmas, Rei, Rei, Travioli, Travioli",
SDJ,0-1,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-6,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-1,0-0,0-1,1-1,1-0,0-0,0-0,0-0,0-0,2-1,0-0,0-0,1-1,0-0,0-0,0-2,1-0,1-0,0-0,1-0,0-8,0-0,0-0,0-0,0-0,0-0,9-13,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-2,0-1,0-0,0-0,0-2,0-1,0-1,0-0,0-0,0-0,1-1,0-0,0-0,1-1,0-0,0-0,2-0,0-0,1-1,0-0,1-1,10-9,0-0,2-0,N/A,0-2,1-7,0-0,0-1,0-1,0-0,0-0,0-0,0-0,0-2,0-0,"Elysian, FatGoku, DannyPhantom, codeman, KBarry, Quaff, Eddy Mexico, Westballz, SpacePigeon, redpandamaster, Blues Clues, Eddy Mexico, ALP, Hax$, FatGoku, Fury, Will Pickles, Cilan, TzD, John Llawless, Freezus, Dizzy, Fury, bluezaft (inactive), bobbybigballz, NOOT, bobbybigballz, ZeldaFool, Umbr, Sker, Ober, Ober, Pops, John Llawless, DD, JSalt, JSalt, KGB, Fable, Maximus, Fury, Studebacher Hoch, Fury, Will Pickles, Will Pickles, Cilan, Miles, Sker, JSalt, JSalt, rabit!, JSalt, JSalt, Rick, Elysian, Elysian, Pops",
Secrets,0-1,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,1-1,0-0,0-0,2-0,N/A,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,"Balloon Day, AlyJ, NOOT, Peachy Keen, Jet, Freezus, Grab, Louis, DASH, Redcoat, Schythed, Bobby Frizz, Schythed, Fizzwiggle, Fizzwiggle, OkayP., Logos, Equilateral, Egg$",
SFOP,0-0,0-0,0-0,0-2,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-1,0-2,0-0,0-0,0-0,0-0,1-2,2-1,0-0,0-1,0-0,0-0,0-0,0-0,0-2,0-0,0-1,0-0,0-1,0-0,1-0,1-0,0-0,0-0,0-0,3-1,0-0,0-0,0-0,0-0,0-0,0-0,0-3,0-0,0-0,0-0,0-0,0-0,7-6,0-0,0-1,0-0,0-0,0-0,0-0,0-0,1-3,0-0,2-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,3-0,0-0,0-0,0-0,1-0,0-0,1-0,4-0,4-0,0-0,0-0,7-1,0-0,N/A,0-0,1-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,"FatGoku, yingling, Ribboned Ace, Soonsay, Quaff, Quaff, Quaff, Quaff, Soonsay, Vish, Chummi, Chummi, Logos, Kata, ronnie, Blues Clues, Hax$, Hax$, Forrest, Forrest",
Skerzo,0-1,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-1,1-4,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-1,0-4,1-4,27-18,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-1,0-0,0-1,1-0,1-0,0-0,0-0,0-0,1-1,0-0,0-0,0-0,0-1,6-0,1-0,0-0,0-0,0-0,0-1,2-1,0-0,0-0,0-1,0-0,5-1,0-0,0-0,0-0,3-1,0-0,1-0,1-0,1-1,0-1,1-5,2-1,5-2,1-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,N/A,0-1,0-0,0-0,0-1,0-1,1-0,0-2,1-0,"Conman, Blues Clues, Siddward, Dope, Neologism, Lotfy, Komodo, Unsure, htwa, Zeeker, Bbatts, Epoodle, Siddward, DontRestMe, Nakamaman, Azzu, Reeve, TheRealThing, TheRealThing, Blue, Pleasantries, GI0GOAT, JustJoe, FoxCap, Fluid, Q?, Frost, Casual, Ober, Hyunnies, Fluid, Killablue, Ober, Fluid, Ober, Unsure, Unsure, Unsure, LLDL, Skechers, TechDeath, Arpy, Ober, Ober, ORLY, Maher, Ober, DrLobster, Joey Donuts, Travioli, Pleeba, JustJoe, Azzu, DannyPhantom, Unsure, TechDeath, Ober, FoxCap",
Slowking,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-2,0-1,0-0,0-1,0-0,0-0,0-0,0-0,0-0,3-0,0-0,0-0,0-1,0-1,0-1,0-2,1-3,0-0,0-0,0-0,0-0,1-2,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,2-1,0-0,0-1,1-1,0-1,2-0,1-0,0-0,0-1,0-0,2-3,1-0,0-0,0-0,1-0,0-0,4-0,0-0,0-1,0-0,0-4,0-0,0-0,0-0,2-1,2-2,0-0,0-1,4-0,0-0,0-0,1-1,0-0,2-0,1-0,0-0,0-1,1-0,N/A,0-0,0-0,0-0,0-0,1-2,0-0,0-2,"Dawson, Lotfy, i still love you, K8A, Ahmad, Golden, Joey Donuts, Faust, Darktooth, Kuyashi, Wicked_, Dawson, Smashdaddy, PanterA, Rei, Suezo, Uncle B, Kuyashi, Lunar Dusk, Lunar Dusk, Kuyashi, Kuyashi, Isles, Bbatts, Zeeker, Lunar Dusk, JoJo, JSalt, Lotfy, Pi#374, Salt, Salt, FMB5k, Lotfy, MOF, Travioli, Boigan, The Fury, The Fury, CardboardBear, Travioli, JSalt, Russell, Kuyashi, Bobby Frizz, Bobby Frizz",
SluG,0-3,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,1-0,0-0,0-0,0-0,1-2,0-0,0-0,0-0,0-0,0-0,0-0,2-0,1-2,0-0,0-0,0-0,0-0,0-0,1-3,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,1-0,0-0,0-0,1-0,0-0,0-2,0-0,3-0,1-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,4-0,0-0,0-0,0-0,1-0,2-0,0-0,3-0,0-2,0-0,0-0,1-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,N/A,0-0,0-0,0-2,1-0,0-1,1-0,"Smashdaddy, ChuDat, Bbatts, Kürv, Hax$, Bbatts, Hax$, Zion, Zion",
Sock,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-7,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,N/A,0-0,0-0,0-0,0-0,0-0,"Squid, Mo $, Westballz, Dr. Lame, s2b, deft, SquirtlSquad, McCloud, McCloud, McCloud, Nangs, Doritoes5, 2 Uosdwis 2 Dewoh, DonB, MC, Thato, Pickles, Rei, McCloud, McCloud, McCloud",
Swift,1-3,0-1,0-1,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,1-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,2-2,0-0,0-1,3-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,3-0,0-0,0-0,0-0,2-0,1-1,0-0,1-0,0-0,1-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,N/A,0-0,0-0,0-0,0-0,"Pleasantries, Bbatts, Ober, Vianny",
Wally,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,1-1,1-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,3-1,0-3,0-0,1-1,0-0,2-2,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-4,1-0,0-0,0-0,1-3,0-0,0-1,1-2,1-1,0-0,1-0,0-0,0-0,0-0,0-0,0-0,5-5,0-0,0-0,0-0,1-1,0-0,0-1,10-12,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,2-0,0-0,0-0,N/A,2-2,0-0,0-0,"JoJo, Panos, Whiskers, Whiskers, Whiskers, JoJo, JoJo, JoJo, Swedish Delight, Louis, Bbatts, HOBORG, Maelstrom, Louis, 404Cray, Error, Young Neil, Fable, Majersk, HOBORG, Maelstrom, angst, Tommy, Just Nate, Error, Error, Fable, Kuma, Fable, JJM, JJM, Majersk, Kevorkian, Error, Error",
Warmmer,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-2,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-1,1-1,1-0,0-0,0-0,0-1,0-0,0-1,0-0,0-2,0-0,0-0,0-2,0-0,1-0,0-0,0-0,0-0,0-3,0-0,0-0,0-0,3-5,1-0,0-0,0-0,1-3,0-0,1-0,1-1,2-1,0-0,0-1,0-0,2-1,0-0,0-0,0-0,6-3,0-0,0-0,0-0,4-0,0-3,0-0,3-1,2-1,0-0,0-0,2-2,0-0,0-1,0-0,0-0,0-0,0-1,2-1,0-1,0-0,0-0,2-2,N/A,1-0,0-0,"OkayP., Rabbit, tomdollars, Ben Snape, Lotfy, OtES, Akir, Jamrun, Karan, JoJo, Siddward, sinbad, TheRealThing, Jada, Snap, MOM!, eve, Bbatts, Soonsay, dudutsai, Future Shock, DrLobster, catsonthemoon, Heartstrings, Axis, JSalt, Jammy, Kikoho, Googlyeyed, Drio, JSalt, Balloon Day, Just Jason, eve, DarkHero, Sodabro, Unsure, CmG, Ossify, Captain Pretzel, Dawson, Blues Clues, CeeLew, Sodabro, Suezo, Adam001, Chipotle+, Akir, Seven, Redcoat, Kikoho, SloX, Trail, Q, Trail, lucky_dude_1, Grab",
Zealot,0-0,0-0,0-0,0-1,0-1,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-4,0-0,0-0,1-0,0-0,2-2,4-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-1,0-0,0-2,0-0,0-0,0-0,0-0,0-0,0-0,0-0,3-0,1-1,1-0,0-0,0-0,1-0,1-1,2-0,0-0,0-0,3-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,5-3,0-0,0-0,2-0,1-0,0-1,2-0,0-0,1-0,0-0,0-0,0-0,0-1,N/A,0-0,"TheRealThing, mvlvchi, Eddy Mexico, Egg$, Grab, Just Jason, Just Jason, Leighton, Smashdaddy, LAG, DD, Komodo, Komodo, Fizzwiggle",
Zuppy,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-3,0-0,0-0,0-0,0-3,0-0,0-0,0-0,0-0,0-0,0-0,1-1,0-3,0-0,0-0,0-0,0-0,1-2,1-1,0-0,0-0,0-0,3-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,3-3,0-0,0-1,1-4,2-0,0-0,1-1,0-0,3-4,0-0,2-1,1-2,0-0,0-0,1-2,1-0,1-0,0-0,0-0,0-0,8-3,0-0,1-1,0-0,0-0,1-5,1-0,2-2,1-0,0-0,1-0,3-1,0-0,0-0,0-0,0-0,0-0,0-1,2-0,0-1,0-0,0-0,0-0,0-0,0-0,N/A,"Younger, Eddy Mexico, Hax$, Forrest, Fank, Prometheus, DarkGenex, Soonsay, ronnie, Pi#374, Forrest, Forrest, Pi#374, Grab, Grab, Neologism, Neologism, Smashdaddy, i still love you, Dimension, htwa, Ryan Ford, Koobie",
